Accident_Index,Latitude,Longitude,Year,Month,Day,Hour,Speed_limit,Car_involved_in_accident,Motorcycle_involved_in_accident,Truck_involved_in_accident,Other_vehicle_involved_in_accident
200501TC00049,51.520671,-0.051538,2005,2,20,15,30,0,0,0,1
200501TC00051,51.63002,-0.0032170000000000002,2005,1,24,15,30,1,0,0,0
200501TC00052,51.669954,-0.019538999999999997,2005,1,13,22,30,1,0,0,0
200501TC00081,51.590051,0.081939,2005,3,4,13,30,0,0,1,0
200501TC00127,51.539843,0.14338800000000002,2005,3,19,9,30,1,0,0,0
200501TC00174,51.509557,-0.053741,2005,4,26,0,30,0,1,0,0
200501TC00176,51.615019000000004,0.118905,2005,3,17,14,30,1,1,0,0
200501TC00177,51.527968,-0.020085,2005,3,25,22,30,1,0,0,0
200501TC00188,51.656090999999996,-0.029397000000000003,2005,5,5,16,40,0,0,1,1
200501TC00216,51.503209999999996,0.22711900000000002,2005,5,28,11,60,1,0,1,0
200501TC00217,51.535527,0.123574,2005,5,27,8,30,0,0,1,0
200501TC00221,51.660536,-0.058700999999999996,2005,6,4,15,40,1,0,1,0
200501TC00223,51.600497999999995,-0.115846,2005,6,8,17,30,1,0,0,0
200501TC00228,51.526687,-0.061805,2005,6,12,18,30,0,1,0,0
200501TC00233,51.590443,0.049473,2005,6,18,16,30,0,1,1,0
200501TC00234,51.58081,-0.099484,2005,6,15,20,30,0,0,0,1
200501TC00243,51.641420000000004,-0.093916,2005,6,18,4,30,1,1,0,0
200501TC00249,51.546207,0.09479299999999999,2005,6,23,13,30,1,0,0,0
200501TC00257,51.577246,-0.146539,2005,7,3,10,30,1,0,0,0
200501TC00272,51.593834,0.20469400000000001,2005,7,3,19,60,0,1,0,0
200501TC00279,51.595940999999996,0.028063,2005,7,21,17,50,1,0,0,0
200501TC00285,51.547944,-0.047632,2005,7,20,20,30,1,0,0,1
200501TC00286,51.515571,0.005609,2005,7,26,23,30,1,0,0,0
200501TC00288,51.599517999999996,-0.028814999999999997,2005,7,23,22,30,0,1,0,0
200501TC00293,51.551796,0.11409000000000001,2005,7,28,19,30,1,0,0,0
200501TC00303,51.60904,-0.049777999999999996,2005,6,21,19,40,0,1,1,0
200501TC00307,51.594004,0.009929,2005,8,2,13,30,1,0,0,0
200501TC00320,51.623599,-0.104054,2005,8,5,13,30,1,0,0,0
200501TC00325,51.5824,0.117532,2005,8,23,18,50,0,1,0,0
200501TC00330,51.511173,-0.010725,2005,9,2,7,30,0,1,0,1
200501TC00343,51.536862,0.01736,2005,9,10,7,30,1,0,0,0
200501TC00350,51.615939000000004,-0.086461,2005,9,12,1,50,1,0,0,0
200501TC00353,51.635458,-0.120178,2005,9,13,16,30,1,1,0,0
200501TC00354,51.575959000000005,0.06513,2005,9,16,16,30,0,0,0,1
200501TC00359,51.527443,-0.036976,2005,9,17,13,30,1,0,0,0
200501TC00364,51.590771999999994,-0.0598,2005,9,26,6,40,1,0,0,0
200501TC00372,51.640868,-0.143657,2005,10,5,13,30,0,0,0,1
200501TC00391,51.554017,-0.088773,2005,9,12,10,30,0,1,0,0
200501TC00395,51.52786,-0.05123099999999999,2005,10,6,21,30,1,0,0,0
200501TC00402,51.532742,0.108449,2005,10,24,10,40,1,1,1,0
200501TC00415,51.549112,0.13315,2005,10,27,9,30,1,0,0,0
200501TC00424,51.616468,-0.063904,2005,10,23,1,30,0,1,0,0
200501TC00427,51.518431,-0.062876,2005,11,4,17,30,0,1,0,0
200501TC00429,51.561771,0.109503,2005,11,12,9,30,1,0,0,1
200501TC00432,51.633738,0.01602,2005,11,3,13,30,1,0,0,0
200501TC00433,51.632115,-0.080289,2005,11,16,10,30,1,0,0,0
200501TC00435,51.500307,0.22841799999999998,2005,11,20,20,70,1,0,0,0
200501TC00438,51.59252,-0.13436700000000001,2005,11,24,0,30,1,0,0,0
200501TC00439,51.553544,0.219046,2005,11,24,17,30,1,0,0,0
200501TC00452,51.597744,0.16373,2005,12,18,10,30,1,0,0,0
200501TC00469,51.641763,-0.13205799999999998,2005,12,6,17,30,1,0,0,0
200501TC09001,51.588687,-0.06970599999999999,2005,11,12,12,30,0,0,0,1
200501TD00002,51.421639,-0.002246,2005,1,25,11,30,0,0,1,0
200501TD00025,51.402933000000004,0.018792,2005,2,11,18,30,0,1,0,0
200501TD00040,51.480218,0.053024,2005,3,8,18,30,0,0,0,1
200501TD00058,51.430484,0.103881,2005,3,15,21,30,1,0,0,0
200501TD00059,51.424637,-0.057496000000000005,2005,3,12,2,30,1,0,0,0
200501TD00068,51.498678000000005,-0.070198,2005,4,1,20,30,0,1,0,0
